SN,Name of Grid Substation,Operation Zone,Transformer Detail (MVA),Total Capacity (MVA),Owership,Grid Circle,Voltage Level
31,BSRM(Khulshi),Chattogram,1x64/80,80,Bulk
32,Chandpur,Cumilla,3x50/75,225,POWER GRID
33,Chandraghona,Chattogram,"1x50/75, 1x25/41",116,POWER GRID
34,Chapai Nawabganj,Rajshahi,"1x15/20, 2x50/75, 1x25/41",1,POWER GRID
35,Char Saidpur,Dhaka,2x80/120,240,DPDC
36,Chauddagram,Cumilla,2x50/75,150,POWER GRID
37,Chhatak,Sylhet,"2x15/20,1x25/41",81,POWER GRID
38,Chandina,Cumilla,2x80/120,240,POWER GRID
39,Chowdala,Rajshahi,2x50/75,150,POWER GRID
40,Chowmuhani,Cumilla,3x80/120,360,POWER GRID
41,Chuadanga,Khulna,2x50/75 1x25/41,191,POWER GRID
42,Cumilla (N),Cumilla,3x50/75,225,POWER GRID
43,Cumilla (S),Cumilla,4x50/75,300,POWER GRID
44,Cox's Bazar,Chattogram,"2x80/120, 1x50/75",315,POWER GRID
45,Daganbhuiyan,Cumilla,1x80/120,120,POWER GRID
46,Dhaka University (DU),Dhaka,2x80/120,240,DPDC
47,Daudkandi,Cumilla,3x50/75,225,POWER GRID
48,Dhamrai,Dhaka,2x50/75,150,POWER GRID
49,Dhanmondi,Dhaka,1x50/75 3x80/120,435,DPDC
50,Dohazari,Chattogram,2x80/120,240,POWER GRID
51,Faridpur,Khulna,"2x80/120, 1x25/41",281,POWER GRID
52,Fatullah,Dhaka,2x80/120,240,DPDC
53,Fenchuganj,Sylhet,"2x15/20,1x25/41",81,POWER GRID
54,Feni,Cumilla,2x80/120,240,POWER GRID
55,Gallamari,Khulna,2x80/120,240,POWER GRID
56,Ghatail,Mymensingh,2x50/75,150,POWER GRID
57,Ghorashal,Dhaka,2x41/63,126,BPDB
58,Goalpara,Khulna,2x25/41,82,POWER GRID
59,Gopalganj,Khulna,2x80/120,240,POWER GRID
60,Gulshan,Dhaka,2x80/120,240,POWER GRID
61,Halishahar,Chattogram,"1x44.1/63, 2x80/120",303,POWER GRID
62,Haripur SBU,Dhaka,2x80/120,240,POWER GRID
63,Hasnabad,Dhaka,3x66/100,300,POWER GRID
64,Hathazari,Chattogram,"1x50/75, 1x80/120",195,POWER GRID
65,Ishwardi,Rajshahi,"2x50/75, 1x80/120",270,POWER GRID
66,Jaldhaka,Rangpur,2x50/75,150,POWER GRID
67,Jamalpur,Mymensingh,"3x50/75, 1x25/41",266,POWER GRID
68,Jashore,Khulna,3x80/120,360,POWER GRID
69,Jhenaidah,Khulna,"2x80/120, 1x50/83.3",323,POWER GRID
70,Joydebpur,Dhaka,"1x35/50 1x50/75, 1x80/120",245,POWER GRID
71,Joypurhat,Rajshahi,4x25/41,164,POWER GRID
72,Juldah,Chattogram,2x50/75,150,POWER GRID
73,Kabirpur,Dhaka,3x80/120,360,POWER GRID
74,Kachua,Cumilla,2x50/75,150,POWER GRID
