SN,Name of Lines,Length in Route km,Length in Ckt. Km,No. of Ckt.,Conductor,Size,Voltage Level
1,HVDC Bheramara-Bangladesh Border(Baharampur),27,54.70,Double,Twin Finch,1113 MCM,400 kV
2,Aminbazar-Meghnaghat,55.00,110.00,Double,Quad Egret,636 MCM,400 kV
3,Comilla(N)- Bangladesh Border,28.00,56.00,Double,Twin Finch,1113 MCM,400 kV
4,Bibiyana-Kaliakoir,170,339,Double,Twin Finch,1113 MCM,400 kV
5,Ashuganj(N)-Bhulta,69.00,138.00,Double,Twin Finch,1113 MCM,400 kV
6,Payra-Gopalganj(N),164,327.10,Double,Quad ACCC Finch,1113 MCM,400 kV
7,BSRM- Mirsarai,16.50,33.00,Double,Twin ACCC Finch,1113 MCM,400 kV
8,HVDC Bheramara-Bangladesh Border(Baharampur) 2nd,28,56,Double,Twin Finch,1113 MCM,400 kV
9,Payra PP - Payra SS,1.20,2.40,Double,,,400 kV
10,Banskhali-Madunaghat,55,111,Double,LL-Quad ACSR Finch,1113 MCM,400 kV
11,LILO of Matarbari-Madunaghat,3,14,Four,LL-Quad ACSR Finch,1113 MCM,400 kV
12,Monakosa-Rahanpur,30,60,Double,Quad ACSR Finch,1113 MCM,400 kV
13,Rampal-Gopalganj,96.70,193.40,Double,Quad ACCC Finch,1113 MCM,400 kV
14,Gopalganj-Aminbazar(With River),75.30,150.60,Double,Quad ACCC Finch,1113 MCM,400 kV
15,Gopalganj-Aminbazar River Crossing,7.50,15.00,Double,Quad ACCC Finch,1113 MCM,400 kV
17,Bogura(West)-Rahanpur,105,210,Double,Twin ACCC Finch,1113 MCM,400 kV
18,Barguna PP - Payra PP,27.80,27.80,Single,Single ACSR Finch,1113 MCM,400 kV
19,Matarbari-Banskhali,38,76,Double,LL-Quad ACSR Finch,1113 MCM,400 kV
20,Madunaghat-Meghnaghat,217.20,434.40,Double,LL-Quad ACSR Finch,1113 MCM,400 kV
21,Rooppur-Bogura(West),90,90,Single,Quad ACCC Finch,1113 MCM,400 kV
22,Bogura(West)-Barapukuria,112.20,224,Double,Quad ACCC Finch,1113 MCM,400 kV
23,LILO of Payra-Gopalganj at Amtali,5,18.90,Double,Quad ACCC Finch,1113 MCM,400 kV
24,Amtali-RNPL,9.90,19.80,Double,Quad ACSR Finch,1113 MCM,400 kV
25,Bogura-Kaliakoir (Upto river crossing),73,146,Double,Quad ACCC Finch,1113 MCM,400 kV
26,Aminbazar-Kaliakoir,51,51,Single,Quad ACCC Finch,1113 MCM,400 kV
27,Roopur-Gopalganj (overhead),156,156,Single,Quad ACCC Finch,1113 MCM,400 kV
28,Roopur-Gopalganj (UG),2,2,Single,Quad ACCC Finch,1113 MCM,400 kV
